"","V1","V2","V3","V4","V5","V6"
"1","FALSE","FALSE","Harare, Zimbabwe","333","FALSE","Twitter for Android"
"2","FALSE","FALSE","Kiambu, Kenya","288","FALSE","Twitter Web Client"
"3","FALSE","FALSE","France","6234","FALSE","Twitter Web App"
"4","FALSE","FALSE","France","6234","TRUE","Twitter for iPhone"
"5","FALSE","FALSE","Canada","223","FALSE","Twitter for Android"
"6","FALSE","FALSE","Cape Town, South Africa","1087","FALSE","Twitter Web Client"
"7","FALSE","FALSE","Hamburg, Deutschland","151","FALSE","Twitter Web Client"
"8","FALSE","FALSE","","84","TRUE","Twitter for Android"
"9","FALSE","FALSE","Stockholm, Sweden","322","FALSE","Twitter for Android"
"10","FALSE","FALSE","Edinburgh, Scotland","125","FALSE","Twitter for Android"
"11","FALSE","FALSE","Paris, France","125",NA,"Hootsuite Inc."
"12","FALSE","FALSE","Cape Town, South Africa","359","FALSE","Twitter Web Client"
"13","FALSE","FALSE","Namibia","353","FALSE","Twitter for Android"
"14","FALSE","FALSE","Namibia","353","FALSE","Twitter for Android"
"15","FALSE","FALSE","Namibia","353","FALSE","Twitter for Android"
"16","FALSE","FALSE","Namibia","353","FALSE","Twitter for Android"
"17","FALSE","FALSE","Namibia","353","FALSE","Twitter for Android"
"18","FALSE","FALSE","Nuremberg, Bavaria","860","FALSE","Twitter Web Client"
"19","FALSE","FALSE","Fort Collins, CO, USA","3033","FALSE","Twitter Web Client"
"20","FALSE","FALSE","Fort Collins, CO, USA","3033","FALSE","Twitter Web Client"
"21","FALSE","FALSE","","77","FALSE","Twitter for Android"
"22","FALSE","FALSE","Göttingen, Germany","855","FALSE","Twitter for Android"
"23","FALSE","FALSE","","502","FALSE","Twitter for Android"
"24","FALSE","FALSE","Portsmouth, England","499","FALSE","Twitter for iPhone"
"25","FALSE","FALSE","Paris, France","1419","FALSE","Twitter for iPhone"
"26","FALSE","FALSE","Sheffield, UK","310","FALSE","Twitter Web App"
"27","FALSE","FALSE","Austin, TX","188","FALSE","Twitter for Android"
"28","FALSE","FALSE","Huddersfield, UK","402","FALSE","Tweetbot for i<U+039F>S"
"29","FALSE","FALSE","","314","FALSE","R stats API access"
"30","FALSE","FALSE","","314","FALSE","R stats API access"
"31","FALSE","FALSE","","314","FALSE","R stats API access"
"32","FALSE","FALSE","","314","FALSE","R stats API access"
"33","FALSE","FALSE","","314","FALSE","R stats API access"
"34","FALSE","FALSE","","314","FALSE","R stats API access"
"35","FALSE","FALSE","","314","FALSE","R stats API access"
"36","FALSE","FALSE","","314","FALSE","R stats API access"
"37","FALSE","FALSE","","314","FALSE","R stats API access"
"38","FALSE","FALSE","","314","FALSE","R stats API access"
"39","FALSE","FALSE","","314","FALSE","R stats API access"
