"","Text","Verified","Protected","Location","Followers","VerifiedRetweet","Source"
"1","Roses are red,
R errors are too,
A friendly reminder,
That you made a boo-boo. <U+0001F914>

<U+2764><U+FE0F> #AcademicValentine #ScienceValentines #rstats <U+2764><U+FE0F> https://t.co/SBIp1fQbyQ",FALSE,FALSE,"Harare, Zimbabwe",333,FALSE,"Twitter for Android"
"2","FUNDED MSc and/or PhD opportunities @WesternU in GIScience 

1) Human mobility - GPS tracking, mobile phone app, self-employment/homeworking; 

2) movement ecology - white tailed deer, hunting, GPS collaring; 

#GIS #rstats #geography

https://t.co/DzGlEz25N2 https://t.co/JUF8CtaiFx",FALSE,FALSE,"Kiambu, Kenya",288,FALSE,"Twitter Web Client"
"3","[They'll be at #satRdayParis]

Come and see @_lionelhenry speak about ""Programming in the tidyverse"" at 09:30 on Feb 23 at SatRdays Paris! #satrday #rstats 

https://t.co/bwPmWyosyl",FALSE,FALSE,"France",6234,FALSE,"Twitter Web App"
"4","In Australia (or NZ!) and want to improve your function writing skills and learn how to make packages? I'll be teaching ""Building tidy tools"" in Sydney, May 1-2: https://t.co/vGFAw749hc #rstats (50% discount for students)",FALSE,FALSE,"France",6234,TRUE,"Twitter for iPhone"
"5","Roses Are Red, Violets Are Blue, Statistics Can Be Romantic Too! https://t.co/XRHZTbNiDO #rstats #DataScience",FALSE,FALSE,"Canada",223,FALSE,"Twitter for Android"
"6","#rstats If you are an R User, from any country in Africa, please reply with a <U+0001F64B><U+200D><U+2640><U+FE0F> or <U+0001F64B><U+200D><U+2642><U+FE0F>. We need tweeps from Africa. <U+2764><U+FE0F>",FALSE,FALSE,"Cape Town, South Africa",1087,FALSE,"Twitter Web Client"
"7","Data Wrangling with dplyr � Part 3 https://t.co/EHAh5Xqs71 #rstats #DataScience",FALSE,FALSE,"Hamburg, Deutschland",151,FALSE,"Twitter Web Client"
"8","Advertising &amp; Marketing Fundamentals for #DataScientists: https://t.co/WnI63VQMLc

#abdsc #BigData #DataScience #MachineLearning #AI #Martech #Adtech #BehavioralAnalytics #PredictiveAnalytics #Personalization #ABtesting #CX #Rstats #Python

See this book: https://t.co/dGw24GjN6u https://t.co/LqM81g5fhK",FALSE,FALSE,"",84,TRUE,"Twitter for Android"
"9","#rstats If you are an R User, from any country in Africa, please reply with a <U+0001F64B><U+200D><U+2640><U+FE0F> or <U+0001F64B><U+200D><U+2642><U+FE0F>. We need tweeps from Africa. <U+2764><U+FE0F>",FALSE,FALSE,"Stockholm, Sweden",322,FALSE,"Twitter for Android"
"10","Roses are red,
R errors are too,
A friendly reminder,
That you made a boo-boo. <U+0001F914>

<U+2764><U+FE0F> #AcademicValentine #ScienceValentines #rstats <U+2764><U+FE0F> https://t.co/SBIp1fQbyQ",FALSE,FALSE,"Edinburgh, Scotland",125,FALSE,"Twitter for Android"
"11","[They'll be at #satRdayParis]

Come and see @_lionelhenry speak about ""Programming in the tidyverse"" at 09:30 on Feb 23 at SatRdays Paris! #satrday #rstats 

https://t.co/bwPmWyosyl",FALSE,FALSE,"Paris, France",125,NA,"Hootsuite Inc."
"12","#rstats If you are an R User, from any country in Africa, please reply with a <U+0001F64B><U+200D><U+2640><U+FE0F> or <U+0001F64B><U+200D><U+2642><U+FE0F>. We need tweeps from Africa. <U+2764><U+FE0F>",FALSE,FALSE,"Cape Town, South Africa",359,FALSE,"Twitter Web Client"
"13","Dive into #DeepLearning, Berkeley STAT 157 (Spring 2019) Textbook [Math + Code + Discussions]. #BigData #Analytics #MachineLearning #DataScience #AI #IoT #IIoT #Python #RStats #JavaScript #ReactJS #VueJS #GoLang #Serverless #DataScientist #Linux #Books 
https://t.co/XxIFsV80r1 https://t.co/A5p4E4GFWu",FALSE,FALSE,"Namibia",353,FALSE,"Twitter for Android"
"14","#MachineLearning with #Python, #Jupyter, #KSQL, and #TensorFlow. #BigData #Analytics #DataScience #AI #IoT #IIoT #RStats #Java #JavaScript #ReactJS #VueJS #CloudComputing #DataScientist #Serverless #Linux
https://t.co/HyQ93KKD0G https://t.co/CmT05wpwt1",FALSE,FALSE,"Namibia",353,FALSE,"Twitter for Android"
"15","The Complete Guide to the ELK Stack. #BigData #Analytics #NoSQL #Redis #MachineLearning #DataScience #AI #ApacheKafka #Kibana #RabbitMQ #ElasticSearch #IoT #IIoT #Python #RStats #JavaScript #ReactJS #VueJS #GoLang #Serverless #DataScientist #Linux 
https://t.co/PR3JMZGRYN https://t.co/m7fqfACPCy",FALSE,FALSE,"Namibia",353,FALSE,"Twitter for Android"
"16","Neural Quantum States. #BigData #Analytics #MachineLearning #DataScience #AI #IoT #IIoT #Python #RStats #Java #JavaScript #ReactJS #VueJS #GoLang #Serverless #DataScientist #Linux 
https://t.co/tdZUVbULor https://t.co/ghIIEhieRa",FALSE,FALSE,"Namibia",353,FALSE,"Twitter for Android"
"17","Dreaming Neural Networks. #BigData #Analytics #MachineLearning #DataScience #AI #IoT #IIoT #Python #RStats #Java #JavaScript #ReactJS #VueJS #GoLang #Serverless #DataScientist #Linux 
https://t.co/h091xWpZbf https://t.co/TR5dG5ESCX",FALSE,FALSE,"Namibia",353,FALSE,"Twitter for Android"
