,Text,Verified,Protected,Location,Followers,VerifiedRetweet,Source,NumTweetChars
1,"Roses are red,
R errors are too,
A friendly reminder,
That you made a boo-boo. <U+0001F914>

<U+2764><U+FE0F> #AcademicValentine #ScienceValentines #rstats <U+2764><U+FE0F> https://t.co/SBIp1fQbyQ",FALSE,FALSE,YES,0,FALSE,Twitter for Android,196
2,"FUNDED MSc and/or PhD opportunities @WesternU in GIScience 

1) Human mobility - GPS tracking, mobile phone app, self-employment/homeworking; 

2) movement ecology - white tailed deer, hunting, GPS collaring; 

#GIS #rstats #geography

https://t.co/DzGlEz25N2 https://t.co/JUF8CtaiFx",FALSE,FALSE,YES,0,FALSE,other,283
3,"[They'll be at #satRdayParis]

Come and see @_lionelhenry speak about ""Programming in the tidyverse"" at 09:30 on Feb 23 at SatRdays Paris! #satrday #rstats 

https://t.co/bwPmWyosyl",FALSE,FALSE,YES,1,FALSE,Twitter Web App,181
4,"In Australia (or NZ!) and want to improve your function writing skills and learn how to make packages? I'll be teaching ""Building tidy tools"" in Sydney, May 1-2: https://t.co/vGFAw749hc #rstats (50% discount for students)",FALSE,FALSE,YES,1,TRUE,Twitter for iPhone,221
5,"Roses Are Red, Violets Are Blue, Statistics Can Be Romantic Too! https://t.co/XRHZTbNiDO #rstats #DataScience",FALSE,FALSE,YES,0,FALSE,Twitter for Android,109
6,"#rstats If you are an R User, from any country in Africa, please reply with a <U+0001F64B><U+200D><U+2640><U+FE0F> or <U+0001F64B><U+200D><U+2642><U+FE0F>. We need tweeps from Africa. <U+2764><U+FE0F>",FALSE,FALSE,YES,1,FALSE,other,200
7,Data Wrangling with dplyr � Part 3 https://t.co/EHAh5Xqs71 #rstats #DataScience,FALSE,FALSE,YES,0,FALSE,other,79
8,"Advertising &amp; Marketing Fundamentals for #DataScientists: https://t.co/WnI63VQMLc

#abdsc #BigData #DataScience #MachineLearning #AI #Martech #Adtech #BehavioralAnalytics #PredictiveAnalytics #Personalization #ABtesting #CX #Rstats #Python

See this book: https://t.co/dGw24GjN6u https://t.co/LqM81g5fhK",FALSE,FALSE,NO,0,TRUE,Twitter for Android,307
9,"#rstats If you are an R User, from any country in Africa, please reply with a <U+0001F64B><U+200D><U+2640><U+FE0F> or <U+0001F64B><U+200D><U+2642><U+FE0F>. We need tweeps from Africa. <U+2764><U+FE0F>",FALSE,FALSE,YES,0,FALSE,Twitter for Android,200
10,"Roses are red,
R errors are too,
A friendly reminder,
That you made a boo-boo. <U+0001F914>

<U+2764><U+FE0F> #AcademicValentine #ScienceValentines #rstats <U+2764><U+FE0F> https://t.co/SBIp1fQbyQ",FALSE,FALSE,YES,0,FALSE,Twitter for Android,196
11,"[They'll be at #satRdayParis]

Come and see @_lionelhenry speak about ""Programming in the tidyverse"" at 09:30 on Feb 23 at SatRdays Paris! #satrday #rstats 

https://t.co/bwPmWyosyl",FALSE,FALSE,YES,0,NA,other,181
12,"#rstats If you are an R User, from any country in Africa, please reply with a <U+0001F64B><U+200D><U+2640><U+FE0F> or <U+0001F64B><U+200D><U+2642><U+FE0F>. We need tweeps from Africa. <U+2764><U+FE0F>",FALSE,FALSE,YES,0,FALSE,other,200
13,"Dive into #DeepLearning, Berkeley STAT 157 (Spring 2019) Textbook [Math + Code + Discussions]. #BigData #Analytics #MachineLearning #DataScience #AI #IoT #IIoT #Python #RStats #JavaScript #ReactJS #VueJS #GoLang #Serverless #DataScientist #Linux #Books 
https://t.co/XxIFsV80r1 https://t.co/A5p4E4GFWu",FALSE,FALSE,YES,0,FALSE,Twitter for Android,301
14,"#MachineLearning with #Python, #Jupyter, #KSQL, and #TensorFlow. #BigData #Analytics #DataScience #AI #IoT #IIoT #RStats #Java #JavaScript #ReactJS #VueJS #CloudComputing #DataScientist #Serverless #Linux
https://t.co/HyQ93KKD0G https://t.co/CmT05wpwt1",FALSE,FALSE,YES,0,FALSE,Twitter for Android,252
15,"The Complete Guide to the ELK Stack. #BigData #Analytics #NoSQL #Redis #MachineLearning #DataScience #AI #ApacheKafka #Kibana #RabbitMQ #ElasticSearch #IoT #IIoT #Python #RStats #JavaScript #ReactJS #VueJS #GoLang #Serverless #DataScientist #Linux 
https://t.co/PR3JMZGRYN https://t.co/m7fqfACPCy",FALSE,FALSE,YES,0,FALSE,Twitter for Android,296
16,"Neural Quantum States. #BigData #Analytics #MachineLearning #DataScience #AI #IoT #IIoT #Python #RStats #Java #JavaScript #ReactJS #VueJS #GoLang #Serverless #DataScientist #Linux 
https://t.co/tdZUVbULor https://t.co/ghIIEhieRa",FALSE,FALSE,YES,0,FALSE,Twitter for Android,228
17,"Dreaming Neural Networks. #BigData #Analytics #MachineLearning #DataScience #AI #IoT #IIoT #Python #RStats #Java #JavaScript #ReactJS #VueJS #GoLang #Serverless #DataScientist #Linux 
https://t.co/h091xWpZbf https://t.co/TR5dG5ESCX",FALSE,FALSE,YES,0,FALSE,Twitter for Android,231
18,"The https://t.co/YFC7gjKCKT web page was redesigned &amp; relaunched by @RetoStauffer2, now hosting three shiny apps using the HCL (Hue-Chroma-Luminance) color model: palette creator, color vision deficiency emulator, color picker. Based on the new #colorspace #rstats pkg. https://t.co/UrpLD6tGVm",FALSE,FALSE,YES,0,FALSE,other,297
19,"Dreaming Neural Networks. #BigData #Analytics #MachineLearning #DataScience #AI #IoT #IIoT #Python #RStats #Java #JavaScript #ReactJS #VueJS #GoLang #Serverless #DataScientist #Linux 
https://t.co/h091xWpZbf https://t.co/TR5dG5ESCX",FALSE,FALSE,YES,1,FALSE,other,231
20,"Dive into #DeepLearning, Berkeley STAT 157 (Spring 2019) Textbook [Math + Code + Discussions]. #BigData #Analytics #MachineLearning #DataScience #AI #IoT #IIoT #Python #RStats #JavaScript #ReactJS #VueJS #GoLang #Serverless #DataScientist #Linux #Books 
https://t.co/XxIFsV80r1 https://t.co/A5p4E4GFWu",FALSE,FALSE,YES,1,FALSE,other,301
21,Data Wrangling with dplyr � Part 3 https://t.co/EHAh5Xqs71 #rstats #DataScience,FALSE,FALSE,NO,0,FALSE,Twitter for Android,79
22,Are you an #rstats user in Africa? Do you want to be updated on R-related activities and help promote R in Africa? Sign up on this form! #africaR https://t.co/Qztgzc9lzb,FALSE,FALSE,YES,0,FALSE,Twitter for Android,169
23,"""PowerBI a powerful analysis and visualisation tool that in particular allows for the creation of dashboard style reports (See here for samples)."" https://t.co/rU3XRx9GvM #rstats #PowerBI #DataScience https://t.co/N9eeeaKaml",FALSE,FALSE,NO,0,FALSE,Twitter for Android,224
24,"Roses are red,
R errors are too,
A friendly reminder,
That you made a boo-boo. <U+0001F914>

<U+2764><U+FE0F> #AcademicValentine #ScienceValentines #rstats <U+2764><U+FE0F> https://t.co/SBIp1fQbyQ",FALSE,FALSE,YES,0,FALSE,Twitter for iPhone,196
25,"#rstats If you are an R User, from any country in Africa, please reply with a <U+0001F64B><U+200D><U+2640><U+FE0F> or <U+0001F64B><U+200D><U+2642><U+FE0F>. We need tweeps from Africa. <U+2764><U+FE0F>",FALSE,FALSE,YES,1,FALSE,Twitter for iPhone,200
26,"The https://t.co/YFC7gjKCKT web page was redesigned &amp; relaunched by @RetoStauffer2, now hosting three shiny apps using the HCL (Hue-Chroma-Luminance) color model: palette creator, color vision deficiency emulator, color picker. Based on the new #colorspace #rstats pkg. https://t.co/UrpLD6tGVm",FALSE,FALSE,YES,0,FALSE,Twitter Web App,297
27,"The https://t.co/YFC7gjKCKT web page was redesigned &amp; relaunched by @RetoStauffer2, now hosting three shiny apps using the HCL (Hue-Chroma-Luminance) color model: palette creator, color vision deficiency emulator, color picker. Based on the new #colorspace #rstats pkg. https://t.co/UrpLD6tGVm",FALSE,FALSE,YES,0,FALSE,Twitter for Android,297
28,"Teaching my first #rstats class.

1st half of the quarter: Using @rstudio server.  

2nd half of quarter: Need them to download all prior course materials.  

This was my nightmare... before usethis::use_course().

May the programming gods smile upon @JennyBryan for all eternity.",FALSE,FALSE,YES,0,FALSE,other,280
29,"An interesting #RStats flip-book project by @EvaMaeRey which incrementally explains how to plot code using @ggplot2.

I'm still a beginner at this, but will take a look and give it a shot when I find the time to do so! <U+0001F606>

#NM4239

https://t.co/qRRkqFafrc",FALSE,FALSE,NO,0,FALSE,other,265
30,PDSwR2 Free Excerpt and New Discount Code https://t.co/vcqNyl6024 #rstats #DataScience,FALSE,FALSE,NO,0,FALSE,other,86
31,"""PowerBI a powerful analysis and visualisation tool that in particular allows for the creation of dashboard style reports (See here for samples)."" https://t.co/rU3XRx9GvM #rstats #PowerBI #DataScience https://t.co/N9eeeaKaml",FALSE,FALSE,NO,0,FALSE,other,224
32,Taking Home Charlie https://t.co/iCsORhnic4 #rstats #DataScience,FALSE,FALSE,NO,0,FALSE,other,64
33,"I said ""RStudio addin"" above, but you can use conflr on Emacs! Here's how (the post is written in Japanese, but you can understand; it's just a few lines of elisp). Thanks @igjit! #rstats #rmarkdown https://t.co/yEPDOtmqfT",FALSE,FALSE,NO,0,FALSE,other,222
34,@arjunrajlab Looks like they just didn�t know how to use #rstats ggplot�s theme() and aes(),FALSE,FALSE,NO,0,FALSE,other,91
35,Data Wrangling with dplyr � Part 3 https://t.co/EHAh5Xqs71 #rstats #DataScience,FALSE,FALSE,NO,0,FALSE,other,79
36,Online color apps at https://t.co/ZfwL6TDOEi https://t.co/Cjpx5kJ4ma #rstats #DataScience,FALSE,FALSE,NO,0,FALSE,other,89
37,"Roses Are Red, Violets Are Blue, Statistics Can Be Romantic Too! https://t.co/XRHZTbNiDO #rstats #DataScience",FALSE,FALSE,NO,0,FALSE,other,109
38,fitzRoy � 0.1.5 release https://t.co/uYLRWYHK6g #rstats #DataScience,FALSE,FALSE,NO,0,FALSE,other,68
39,Hey #rstats peeps! Anyone know how to make pretty results tables in R or RMarkdown? I really don�t want to have to just make it in Word with copy/paste. Ta!,FALSE,FALSE,NO,0,FALSE,other,156
40,"new <U+0001F4DD>: Visualizing Brooklyn Nine-Nine <U+0001F694><U+0001F6A8> with #rstats !

Link: https://t.co/qzn2IPWGok <U+0001F46E><U+200D><U+2642><U+FE0F><U+0001F46E><U+200D><U+2640><U+FE0F>

#dataviz #R4DS #ggplot2 #Brooklyn99 https://t.co/43Ozp7e9gk",FALSE,FALSE,NO,0,FALSE,other,253
41,New career decision: All my #rstats shiny apps for work shall be named after Jean-Claude Van Damme movies. Today's work: https://t.co/ZstUJoP9by,FALSE,FALSE,NO,0,FALSE,other,144
42,"A Planned $35-million Upgrade Could Enable LIGO to Spot One Black-Hole Merger Per Day. #BigData #Analytics #DataScience #IoT #IIoT #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #VueJS #GoLang #CloudComputing #Serverless #DataScientist #Linux
 https://t.co/dsAYgFaaSQ https://t.co/T2SytWhVDm",FALSE,FALSE,YES,1,FALSE,other,299
43,"Dive into #DeepLearning, Berkeley STAT 157 (Spring 2019) Textbook [Math + Code + Discussions]. #BigData #Analytics #MachineLearning #DataScience #AI #IoT #IIoT #Python #RStats #JavaScript #ReactJS #VueJS #GoLang #Serverless #DataScientist #Linux #Books 
https://t.co/XxIFsV80r1 https://t.co/A5p4E4GFWu",FALSE,FALSE,YES,1,FALSE,other,301
44,"Gluon CV Toolkit. #BigData #Analytics #MachineLearning #DataScience #IoT #IIoT #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #VueJS #GoLang #CloudComputing #Serverless #DataScientist #Linux 
https://t.co/dFM5kPa0kW https://t.co/4NM9n9zEn0",FALSE,FALSE,YES,1,FALSE,other,247
45,"#MachineLearning with #Python, #Jupyter, #KSQL, and #TensorFlow. #BigData #Analytics #DataScience #AI #IoT #IIoT #RStats #Java #JavaScript #ReactJS #VueJS #CloudComputing #DataScientist #Serverless #Linux
https://t.co/HyQ93KKD0G https://t.co/CmT05wpwt1",FALSE,FALSE,YES,1,FALSE,other,252
46,"The Complete Guide to the ELK Stack. #BigData #Analytics #NoSQL #Redis #MachineLearning #DataScience #AI #ApacheKafka #Kibana #RabbitMQ #ElasticSearch #IoT #IIoT #Python #RStats #JavaScript #ReactJS #VueJS #GoLang #Serverless #DataScientist #Linux 
https://t.co/PR3JMZGRYN https://t.co/m7fqfACPCy",FALSE,FALSE,YES,1,FALSE,other,296
47,"Challenging Common Assumptions in Disentangled Representations. #BigData #Analytics #MachineLearning #DataScience #AI #IoT #IIoT #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #VueJS #GoLang #CloudComputing #Serverless #DataScientist #Linux 
https://t.co/27mtbTv9B0 https://t.co/YN4CGCov9L",FALSE,FALSE,YES,1,FALSE,other,297
48,"""PowerBI a powerful analysis and visualisation tool that in particular allows for the creation of dashboard style reports (See here for samples)."" https://t.co/rU3XRx9GvM #rstats #PowerBI #DataScience https://t.co/N9eeeaKaml",FALSE,FALSE,YES,1,FALSE,other,224
